student_id,name,institution_id,department,year,cgpa,email
STU0001,Erica Roberson,INS001,Computer Science,4,7.19,jessica75@example.com
STU0002,Benjamin Watts,INS002,Information Science,4,6.57,tammyyoung@example.org
STU0003,Juan Thomas,INS005,Computer Science,4,7.72,fellis@example.com
STU0004,Dr. Carrie Edwards MD,INS001,Computer Science,2,7.04,rmurray@example.com
STU0005,James Maxwell,INS005,Computer Science,4,6.92,rskinner@example.net
STU0006,Frances Hogan,INS005,Data Science,2,7.82,pgarcia@example.com
STU0007,Peter Smith,INS003,Computer Science,2,8.71,amckenzie@example.net
STU0008,Andrew Bonilla,INS003,Artificial Intelligence,2,6.98,robertsmaria@example.net
STU0009,Sara Alvarado,INS003,Computer Science,2,7.57,justin35@example.net
STU0010,Jimmy Clark,INS003,Artificial Intelligence,4,7.15,kevinbaker@example.org
STU0011,Kristine Kirk,INS001,Data Science,4,6.65,ehuff@example.com
STU0012,Ryan Martin,INS004,Computer Science,4,7.26,hubbardsandra@example.org
STU0013,Elizabeth Hines,INS005,Artificial Intelligence,4,6.89,nicolesmith@example.org
STU0014,Mark Greene,INS001,Computer Science,4,7.02,christopherchristensen@example.net
STU0015,Steven Pratt,INS003,Computer Science,2,9.32,grahamalicia@example.net
STU0016,Anthony Conrad,INS004,Artificial Intelligence,3,8.49,sara00@example.com
STU0017,Charles Morgan,INS003,Information Science,3,7.48,perrymichael@example.net
STU0018,Nicholas Smith,INS003,Computer Science,4,8.49,lori15@example.net
STU0019,Makayla Smith,INS005,Information Science,2,7.86,adam26@example.org
STU0020,Rebecca Mueller,INS003,Electronics,2,8.66,marthastrong@example.org
STU0021,John Ramsey,INS001,Information Science,2,9.1,martinezdylan@example.net
STU0022,Cheryl Baxter,INS004,Artificial Intelligence,2,6.96,sayala@example.com
STU0023,Kelli Serrano,INS005,Artificial Intelligence,2,8.56,alan53@example.org
STU0024,Jonathan Rivera,INS004,Data Science,2,7.15,tlee@example.org
STU0025,Bethany Anderson,INS002,Electronics,4,7.15,littlejackson@example.org
STU0026,Sharon Thompson,INS005,Data Science,4,7.64,laurasutton@example.net
STU0027,Jeffrey Collier,INS002,Information Science,4,7.98,pattersonheather@example.net
STU0028,Lori Coleman,INS001,Computer Science,2,8.46,uhodges@example.org
STU0029,Jose Harrington,INS004,Electronics,2,7.59,mckaydawn@example.net
STU0030,Billy Guzman,INS005,Data Science,4,7.11,browngeorge@example.org
STU0031,Carolyn Medina,INS005,Computer Science,4,8.79,wilcoxyolanda@example.com
STU0032,Becky Fry,INS005,Artificial Intelligence,4,7.42,estephenson@example.net
STU0033,Daniel Salas,INS003,Data Science,2,7.83,rachael04@example.org
STU0034,Theresa Haley,INS003,Electronics,2,8.03,amy70@example.com
STU0035,Dalton Henry,INS001,Artificial Intelligence,4,8.03,aayala@example.org
STU0036,Heidi Garcia,INS002,Information Science,3,8.95,courtney36@example.net
STU0037,Roger Avila,INS005,Electronics,2,8.36,catherinemoss@example.org
STU0038,Juan Lee,INS004,Computer Science,2,9.54,wesleyodonnell@example.com
STU0039,Tammy Ochoa,INS003,Information Science,2,7.07,debramiles@example.org
STU0040,Kurt Ibarra,INS005,Computer Science,2,8.83,tommydecker@example.net
STU0041,Michael Brown,INS001,Electronics,2,6.66,rdouglas@example.net
STU0042,Beth Garcia,INS004,Electronics,2,7.15,sharon06@example.org
STU0043,Justin Miller,INS005,Data Science,2,9.54,yhicks@example.com
STU0044,Anthony Brewer,INS002,Artificial Intelligence,3,9.78,johnsonmargaret@example.org
STU0045,Amber Ball,INS003,Data Science,4,7.83,hernandezashlee@example.net
STU0046,Danielle King,INS002,Information Science,2,7.42,clarkcarla@example.net
STU0047,Kevin Boyle DDS,INS005,Electronics,2,8.32,kelly80@example.com
STU0048,Anna Frazier,INS001,Computer Science,4,8.47,natalie73@example.com
STU0049,Michele Campbell,INS002,Computer Science,2,9.29,hunterturner@example.net
STU0050,Jeffrey Sutton,INS001,Electronics,2,7.2,uboyd@example.com
STU0051,Kelly Freeman,INS004,Information Science,4,6.68,hallsamantha@example.org
STU0052,Dr. Christopher Ross,INS005,Electronics,3,7.07,mark82@example.com
STU0053,Miguel Robertson,INS004,Data Science,2,6.54,jonesstephanie@example.com
STU0054,Robert Wilson,INS004,Artificial Intelligence,3,7.68,carrietucker@example.net
STU0055,Sheryl Garcia,INS001,Computer Science,2,7.65,samuel70@example.net
STU0056,Dillon Dunn,INS003,Computer Science,2,6.89,phelpslindsey@example.org
STU0057,Bridget Duncan,INS005,Data Science,2,7.72,tjones@example.com
STU0058,Vanessa Aguilar,INS003,Data Science,2,9.35,andreahampton@example.com
STU0059,Whitney Hernandez,INS001,Data Science,4,6.55,alisonhopkins@example.net
STU0060,Dr. Christopher Berger,INS005,Computer Science,2,9.53,kathy01@example.org
STU0061,Marissa Conner,INS002,Information Science,3,7.95,noblerobert@example.com
STU0062,Chad Johnson,INS002,Data Science,2,6.79,andrea96@example.org
STU0063,Kimberly Munoz,INS001,Data Science,3,9.54,edwardmendoza@example.com
STU0064,Leslie Martin,INS004,Artificial Intelligence,3,8.71,mariashepherd@example.com
STU0065,Peter Hughes,INS005,Data Science,2,6.88,fmitchell@example.com
STU0066,Gary Hines,INS002,Computer Science,4,8.85,williamsthomas@example.com
STU0067,Kimberly Davis,INS001,Artificial Intelligence,2,6.38,rickysimmons@example.net
STU0068,Cassidy Aguirre,INS004,Electronics,4,6.77,larry22@example.com
STU0069,Andrea Lopez,INS005,Computer Science,2,6.45,ericarmstrong@example.com
STU0070,Ricky Moore,INS001,Information Science,3,6.63,ldixon@example.org
STU0071,Colleen Davis,INS005,Information Science,4,8.34,sarahstark@example.net
STU0072,Sean Simmons,INS005,Computer Science,3,8.57,landrydorothy@example.net
STU0073,Jennifer Saunders,INS005,Electronics,3,9.56,brandon71@example.org
STU0074,Evan Stark,INS002,Artificial Intelligence,2,7.16,danielsmith@example.org
STU0075,Levi Peterson,INS002,Artificial Intelligence,3,7.34,westchristopher@example.net
STU0076,Peter Jordan,INS001,Computer Science,3,8.44,allen77@example.net
STU0077,Jose Thomas,INS005,Computer Science,2,8.14,brooksjoshua@example.com
STU0078,Kelsey Robinson,INS005,Artificial Intelligence,2,9.56,kshields@example.org
STU0079,Dennis Hanson,INS001,Information Science,3,7.23,richardrivera@example.org
